Original ID,Revised ID,Node Type,Category,Title,Changed
"cda-61","cda-61","cda","","Ethical Considerations","false"
"adv","cda-61-adv","directive","ADV","Ethical Considerations","true"
"adv-1","cda-61-adv-1","directive","ADV","Sensitive Topics","true"
"adv-2","cda-61-adv-2","directive","ADV","Uncertainty Expression","true"
"adv-3","cda-61-adv-3","directive","ADV","Proactive Info Seeking","true"
"adv-4","cda-61-adv-4","directive","ADV","Long-Term Perspective","true"
"adv-6","cda-61-adv-6","directive","ADV","Other Entities","true"
"adv-7","cda-61-adv-7","directive","ADV","Uncertainty Response Protocol","true"
"adv-8","cda-61-adv-8","directive","ADV","Pre-Mortem Heuristic for Complex Outputs - LoB-Inspired / Caw Canny Principle","true"
"cip-1","cda-61-cip-1","directive","CIP","Persona","true"
"cip-2","cda-61-cip-2","directive","CIP","Key Traits","true"
"cip-3","cda-61-cip-3","directive","CIP","Audience Consideration","true"
"cog-1","cda-61-cog-1","directive","COG","Perspective Exploration","true"
"cog-10","cda-61-cog-10","directive","COG","Structured Judgment Protocol \- Noise-Reduction Inspired","true"
"cog-11","cda-61-cog-11","directive","COG","Relative Judgment Prioritization \- Noise-Reduction Inspired","true"
"cog-12","cda-61-cog-12","directive","COG","Deductive Minimalism & CNS Avoidance Protocol","true"
"cog-2","cda-61-cog-2","directive","COG","Alternative Generation","true"
"cog-3","cda-61-cog-3","directive","COG","Structured Evaluation","true"
"cog-4","cda-61-cog-4","directive","COG","Provocation Generation","true"
"cog-5","cda-61-cog-5","directive","COG","G̦delian Humility & Systemic Limitation Awareness - GHSLA","true"
"cog-6","cda-61-cog-6","directive","COG","Ambiguity Cartography - A-Covert-Inspired","true"
"cog-9","cda-61-cog-9","directive","COG","Structural Impact Assessment Protocol - McLuhan-Inspired","true"
"dyn-1","cda-61-dyn-1","directive","DYN","Principle","true"
"dyn-2","cda-61-dyn-2","directive","DYN","Adaptability Focus","true"
"dyn-3","cda-61-dyn-3","directive","DYN","Efficiency Focus","true"
"dyn-4","cda-61-dyn-4","directive","DYN","Synergy","true"
"iep-1","cda-61-iep-1","directive","IEP","Applicability","true"
"iep-2","cda-61-iep-2","directive","IEP","Initial Output","true"
"iep-3","cda-61-iep-3","directive","IEP","Elaboration Prompt","true"
"iep-4","cda-61-iep-4","directive","IEP","Safeguard","true"
"iep-5","cda-61-iep-5","directive","IEP","Default Depth","true"
"iep-6","cda-61-iep-6","directive","IEP","Timeline Integration","true"
"iep-7","cda-61-iep-7","directive","IEP","Structural Transparency in Elaboration - A-Covert-Inspired","true"
"ifc-1","cda-61-ifc-1","directive","IFC","Form Factor","true"
"ipr-1","cda-61-ipr-1","directive","IPR","Response Style","true"
"ipr-2","cda-61-ipr-2","directive","IPR","User Notification for Asynchronous Tasks","true"
"log-1","cda-61-log-1","directive","LOG","Summary","true"
"msm-1","cda-61-msm-1","directive","MSM","Purpose","true"
"msm-10","cda-61-msm-10","directive","MSM","Versioning","true"
"msm-2","cda-61-msm-2","directive","MSM","Generation Trigger","true"
"msm-3","cda-61-msm-3","directive","MSM","Metadata","true"
"msm-4","cda-61-msm-4","directive","MSM","Structure","true"
"msm-5","cda-61-msm-5","directive","MSM","Storage","true"
"msm-6","cda-61-msm-6","directive","MSM","Relevance Assessment","true"
"msm-7","cda-61-msm-7","directive","MSM","Progressive Disclosure","true"
"msm-8","cda-61-msm-8","directive","MSM","Selective Application","true"
"msm-9","cda-61-msm-9","directive","MSM","Tooling Assumption","true"
"opm-1","cda-61-opm-1","directive","OPM","Context Recovery - REC","true"
"opm-10","cda-61-opm-10","directive","OPM","Directive Cognitive Load Principle - HSE-Inspired","true"
"opm-11","cda-61-opm-11","directive","OPM","Directive Authoring & Validation Protocol - HSE-Inspired","true"
"opm-12","cda-61-opm-12","directive","OPM","Adherence to Defined Operational Heuristics - ADOH","true"
"opm-2","cda-61-opm-2","directive","OPM","Startup Advisory - STP","true"
"opm-3","cda-61-opm-3","directive","OPM","Event Locus Marker Protocol - ELMP","true"
"opm-4","cda-61-opm-4","directive","OPM","CDA Modification - MOD","true"
"opm-5","cda-61-opm-5","directive","OPM","Interface Context - ICM","true"
"opm-6","cda-61-opm-6","directive","OPM","Locus Tag List Formatting - LTF","true"
"opm-8","cda-61-opm-8","directive","OPM","Conceptual Lexicon Management - CLM","true"
"phi-1","cda-61-phi-1","directive","PHI","Abstract & Structure","true"
"phi-10","cda-61-phi-10","directive","PHI","Principle of Independent Aggregation \- Noise-Reduction Inspired","true"
"phi-2","cda-61-phi-2","directive","PHI","Synergistic Collaboration Principle","true"
"phi-3","cda-61-phi-3","directive","PHI","Intentional Information Shaping - A-Covert-Inspired","true"
"phi-4","cda-61-phi-4","directive","PHI","Facilitating User Sense-Making - A-Covert-Inspired","true"
"phi-5","cda-61-phi-5","directive","PHI","Principle of Explicit Formulation & Interpretation - HSE-Inspired","true"
"phi-6","cda-61-phi-6","directive","PHI","Principle of Media Self-Awareness - McLuhan-Inspired","true"
"phi-7","cda-61-phi-7","directive","PHI","Principle of Participatory Engagement & ""Cool"" Interaction - McLuhan-Inspired","true"
"phi-8","cda-61-phi-8","directive","PHI","AI as User-Centric Cognitive Augmentation - McLuhan-Inspired","true"
"phi-9","cda-61-phi-9","directive","PHI","Principle of Asynchronous Delegation & Orchestrator Focus","true"
"qhd-1","cda-61-qhd-1","directive","QHD","Trivial/Easily Searchable","true"
"qhd-2","cda-61-qhd-2","directive","QHD","Complex/Abstract/Intersectional","true"
"qhd-3","cda-61-qhd-3","directive","QHD","Ambiguous/Insufficient","true"
"qhd-4","cda-61-qhd-4","directive","QHD","Mess Archetype Identification - Heuristic - A-Covert-Inspired","true"
"qhd-5","cda-61-qhd-5","directive","QHD","Manifestly Incoherent Input Rejection - ""BoSP Core""","true"
"qpg-1","cda-61-qpg-1","directive","QPG","Interpretation Depth","true"
"qpg-10","cda-61-qpg-10","directive","QPG","Delegated Task Database Interaction Protocol","true"
"qpg-2","cda-61-qpg-2","directive","QPG","Contextual Integration","true"
"qpg-3","cda-61-qpg-3","directive","QPG","Constraint Adherence","true"
"qpg-4","cda-61-qpg-4","directive","QPG","Output Structure","true"
"qpg-5","cda-61-qpg-5","directive","QPG","Persona Consistency","true"
"qpg-6","cda-61-qpg-6","directive","QPG","Instruction Precision","true"
"qpg-7","cda-61-qpg-7","directive","QPG","Suggestion for Enhanced Processing - SEP","true"
"qpg-8","cda-61-qpg-8","directive","QPG","User Mental Model Prioritization - A-Covert-Inspired","true"
"qpg-9","cda-61-qpg-9","directive","QPG","Controlled Vocabulary Adherence & Evolution - A-Covert-Inspired","true"
"sin-1","cda-61-sin-1","directive","SIN","Discretion","true"
"sin-2","cda-61-sin-2","directive","SIN","Designated Interests","true"
"sin-4","cda-61-sin-4","directive","SIN","Poetic Formatting","true"
"ver-1","cda-61-ver-1","directive","VER","Identification","true"
